,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-09 11:00:00,0.6298,0.399363636,0.438727273,0.110846154,0.294611111,,
2030-01-09 12:00:00,0.581,0.4155,0.478454545,0.166846154,0.330388889,,
2030-01-09 13:00:00,0.5669,0.446136364,0.535181818,0.238923077,0.398138889,,
2030-01-09 14:00:00,0.5691,0.478454545,0.581363636,0.314,0.482027778,,
2030-01-09 15:00:00,0.584,0.569454545,0.652454545,0.421615385,0.627444444,,
2030-01-09 16:00:00,0.6824,0.660590909,0.738727273,0.488384615,0.7615,,
2030-01-09 17:00:00,0.7275,0.690727273,0.733363636,0.530923077,0.788444444,,
2030-01-09 18:00:00,0.7408,0.685636364,0.705090909,0.565923077,0.785277778,,
2030-01-09 19:00:00,0.7419,0.673818182,0.678454545,0.593,0.772833333,,
2030-01-09 20:00:00,0.7341,0.656863636,0.660363636,0.630769231,0.752055556,,
2030-01-09 21:00:00,0.7193,0.626909091,0.645909091,0.656384615,0.718138889,,
2030-01-09 22:00:00,0.709,0.598227273,0.635454545,0.646846154,0.687833333,,
2030-01-09 23:00:00,0.7047,0.577727273,0.625454545,0.623153846,0.670694444,,
2030-01-10 00:00:00,0.7115,0.562227273,0.611545455,0.597615385,0.649555556,,
2030-01-10 01:00:00,0.7401,0.5395,0.592636364,0.565461538,0.621888889,,
2030-01-10 02:00:00,0.719,0.500909091,0.567272727,0.533384615,0.599277778,,
2030-01-10 03:00:00,0.7056,0.462090909,0.540818182,0.497230769,0.598555556,,
2030-01-10 04:00:00,0.7051,0.409727273,0.491454545,0.433692308,0.578222222,,
2030-01-10 05:00:00,0.8092,0.275863636,0.571090909,0.426538462,0.776972222,,
2030-01-10 06:00:00,0.9194,0.459909091,0.817727273,0.379307692,0.810027778,,
2030-01-10 07:00:00,0.8956,0.577681818,0.758818182,0.277923077,0.708861111,,
2030-01-10 08:00:00,0.8521,0.497636364,0.648272727,0.205307692,0.597,,
2030-01-10 09:00:00,0.8041,0.416545455,0.551545455,0.165,0.502833333,,
2030-01-10 10:00:00,0.7561,0.366,0.496909091,0.155923077,0.442222222,,
2030-01-10 11:00:00,0.7105,0.349545455,0.488,0.174615385,0.421694444,,
2030-01-10 12:00:00,0.6781,0.356,0.505181818,0.219153846,0.434333333,,
2030-01-10 13:00:00,0.6638,0.369727273,0.531363636,0.280615385,0.469,,
2030-01-10 14:00:00,0.6508,0.38,0.534909091,0.342384615,0.499638889,,
2030-01-10 15:00:00,0.6291,0.472454545,0.579818182,0.431846154,0.582527778,,
2030-01-10 16:00:00,0.697,0.580454545,0.654363636,0.469230769,0.688388889,,
2030-01-10 17:00:00,0.7267,0.626727273,0.662545455,0.470461538,0.72225,,
2030-01-10 18:00:00,0.7288,0.639545455,0.650181818,0.487692308,0.711277778,,
2030-01-10 19:00:00,0.7202,0.643045455,0.637090909,0.518615385,0.687861111,,
2030-01-10 20:00:00,0.7116,0.637318182,0.628272727,0.536923077,0.667055556,,
2030-01-10 21:00:00,0.6963,0.619272727,0.618,0.540615385,0.653333333,,
2030-01-10 22:00:00,0.6783,0.597409091,0.607,0.543230769,0.645888889,,
2030-01-10 23:00:00,0.6673,0.575045455,0.596,0.545076923,0.63625,,
2030-01-11 00:00:00,0.6581,0.552818182,0.585909091,0.540076923,0.624777778,,
2030-01-11 01:00:00,0.6485,0.526045455,0.572909091,0.526461538,0.611416667,,
2030-01-11 02:00:00,0.6394,0.494863636,0.556272727,0.502461538,0.59375,,
2030-01-11 03:00:00,0.6336,0.465090909,0.537454545,0.467846154,0.581083333,,
2030-01-11 04:00:00,0.6166,0.421636364,0.494181818,0.391769231,0.532388889,,
2030-01-11 05:00:00,0.5688,0.238363636,0.334090909,0.304153846,0.582611111,,
2030-01-11 06:00:00,0.8756,0.3145,0.657363636,0.307307692,0.753777778,,
2030-01-11 07:00:00,0.8582,0.412909091,0.616363636,0.224076923,0.652361111,,
2030-01-11 08:00:00,0.784,0.320727273,0.478090909,0.165,0.51725,,
2030-01-11 09:00:00,0.6905,0.246636364,0.375181818,0.128,0.403555556,,
2030-01-11 10:00:00,0.5916,0.214454545,0.312090909,0.117076923,0.324388889,,
2030-01-11 11:00:00,0.5071,0.222636364,0.293090909,0.132076923,0.283222222,,
2030-01-11 12:00:00,0.4539,0.262363636,0.326636364,0.160692308,0.278305556,,
2030-01-11 13:00:00,0.4447,0.317136364,0.406363636,0.198538462,0.311583333,,
2030-01-11 14:00:00,0.4671,0.361272727,0.484545455,0.273153846,0.374388889,,
2030-01-11 15:00:00,0.557,0.481,0.626636364,0.417384615,0.545472222,,
2030-01-11 16:00:00,0.7134,0.600772727,0.730909091,0.495461538,0.707222222,,
2030-01-11 17:00:00,0.7864,0.668272727,0.752727273,0.538615385,0.768027778,,
2030-01-11 18:00:00,0.7998,0.691954545,0.742272727,0.592923077,0.771972222,,
2030-01-11 19:00:00,0.7885,0.693,0.728181818,0.634692308,0.761944444,,
2030-01-11 20:00:00,0.769,0.683272727,0.712272727,0.640846154,0.741555556,,
2030-01-11 21:00:00,0.7453,0.659681818,0.695545455,0.615461538,0.716138889,,
2030-01-11 22:00:00,0.7198,0.631454545,0.687090909,0.599923077,0.687166667,,
2030-01-11 23:00:00,0.6981,0.6035,0.684181818,0.575923077,0.660277778,,
2030-01-12 00:00:00,0.6827,0.572045455,0.669545455,0.537307692,0.637694444,,
2030-01-12 01:00:00,0.6722,0.537545455,0.638090909,0.500307692,0.610416667,,
